"county","X..HIV.Cases","County.Value..","GEOID","unemployment_rate","less_than_hs","hs_only","some_college_or_associates","bachelors_or_higher","poverty_rate","uninsured_count","uninsured_percent","uninsured_error_margin","uninsured_zscore"
"Anderson",297,586,48001,3.22629353734649,0,27.1123998764053,18.8576997124046,10.6101300121218,14.8777847930008,7174,20,"17-22%",1.59
"Andrews",16,112,48003,3.73644507307874,0,28.2242990654206,12.5420560747664,12.2056074766355,9.18725944106655,4015,24,"22-27%",2.46
"Angelina",185,260,48005,6.63024330465419,0.0366652116979485,25.0196420776953,14.3116542994326,16.9253601047577,17.7444496929617,15643,23,"20-25%",2.12
"Aransas",36,169,48007,7.46747124269281,0,23.1010180109632,15.5889920572771,21.8760487750308,21.3003739094308,4069,23,"21-26%",2.25
"Archer",NA,NA,48009,2.81844002621805,0,30.9597523219814,11.9928303731465,23.9041877138667,11.9463397710189,1311,19,"17-21%",1.44
"Armstrong",NA,NA,48011,0.998890122086571,0.285714285714286,19.2857142857143,14.2142857142857,22.7857142857143,9.1578947368421,236,17,"14-19%",1.01
"Atascosa",73,181,48013,9.19791951820422,0.251344214310712,33.2092520123445,10.1810314657504,14.422067385702,14.7749671484888,9309,22,"20-24%",2.02
"Austin",59,232,48015,5.72425828970332,0,25.6189770200148,11.0007412898443,23.9140103780578,12.149469329626,5242,22,"20-24%",2.01
"Bailey",NA,NA,48017,2.4786072587784,0,27.8285312719606,13.4691965331459,17.2171468728039,8.74981462257156,NA,NA,NA,NA
"Bandera",27,142,48019,4.38861985472155,0,27.040937056318,13.4642688121155,22.8170847136772,15.7059732702973,3174,21,"18-23%",1.79
"Bastrop",217,259,48021,5.98109053231447,0.084614553703237,25.3807654916646,10.8828718539589,20.6765563676952,11.2340404814937,19128,23,"20-25%",2.17
"Baylor",NA,NA,48023,2.40811153358682,0,26.4009471191792,14.6803472770324,22.8492501973165,11.7307136665704,477,18,"15-21%",1.25
"Bee",145,548,48025,7.95048143053645,0.0318051706120224,21.3140079058567,19.5965286928075,8.93270934617656,20.6069387426548,3441,18,"15-20%",1.16
"Bell",883,291,48027,6.78604374175317,0.0444404521579622,20.9375989863795,16.4538410261017,25.151404838336,13.869581082404,50322,15,"14-17%",0.75
"Bexar",6913,415,48029,5.24742610428429,0.0828103906598217,20.7342628191767,12.7050218529647,28.0137210323963,15.7212208738926,328128,19,"18-20%",1.42
"Blanco",11,105,48031,5.08474576271187,0,25.9884393063584,12.4277456647399,26.4739884393064,9.01020861074123,1762,20,"18-22%",1.63
"Borden",17,3230,48033,2.53164556962025,0,15.0717703349282,11.244019138756,39.4736842105263,2.61011419249592,60,13,"11-15%",NA
"Bosque",20,126,48035,4.2111801242236,0.0991912101327636,27.8803601403937,15.1228444987029,19.800091561117,15.7797652319732,2989,22,"19-24%",1.95
"Bowie",262,340,48037,5.64460640656456,0.118580824690109,28.4341006830255,13.9688211484948,20.6188337971161,16.5814813124629,12226,17,"15-19%",1.1
"Brazoria",942,303,48039,4.40651991413456,0.0603228547153781,19.7990654205607,14.2591333899745,30.0314358538658,8.69910790887988,50265,16,"14-17%",0.8
"Brazos",439,218,48041,3.94122840206836,0.0016866392868889,14.9141078943152,10.8973764325892,41.6928798522504,24.3734795536162,36268,18,"16-20%",1.29
"Brewster",10,121,48043,4.23945462292288,0,18.1938325991189,7.32745961820851,39.9706314243759,13.953488372093,1768,25,"22-28%",2.59
"Briscoe",0,0,48045,4.76190476190476,0,31.0114503816794,10.7824427480916,19.7519083969466,16.3279607568325,290,27,"24-30%",2.98
